id,title,description,media_type,media_url,price,categories,tags,created_at
p_0001,Travel Drone 4K,Lightweight drone with 4K camera,video,https://example.com/media/drone_demo2.mp4,485.08,Electronics;Drones,4K;camera;gps,2025-03-23
p_0002,Ergonomic Office Chair,Comfortable chair with lumbar support,image,https://example.com/media/chair3.jpg,299.5,Furniture;Office,ergonomic;mesh;adjustable,2025-01-11
p_0003,Smartwatch Pro,Fitness-tracking smartwatch,image,https://example.com/media/watch4.jpg,328.33,Electronics;Wearables,heart-rate;gps;waterproof,2025-01-28
p_0004,Coffee Maker 12-cup,Programmable drip coffee maker,image,https://example.com/media/coffee5.jpg,215.6,Home;Kitchen,coffee;programmable;12cup,2025-03-03
p_0005,4K Action Camera,Waterproof action camera 4K video,video,https://example.com/media/actioncam_demo6.mp4,119.08,Electronics;Cameras,4K;waterproof;wide-angle,2025-03-26
p_0006,Portable Bluetooth Speaker,Compact speaker with 12h battery,image,https://example.com/media/speaker7.jpg,382.55,Electronics;Audio,bluetooth;portable;bass,2025-01-12
p_0007,Travel Drone 4K,Lightweight drone with 4K camera,video,https://example.com/media/drone_demo8.mp4,253.16,Electronics;Drones,4K;camera;gps,2025-03-01
p_0008,Ergonomic Office Chair,Comfortable chair with lumbar support,image,https://example.com/media/chair9.jpg,312.44,Furniture;Office,ergonomic;mesh;adjustable,2025-01-02
p_0009,Noise-canceling Headphones,Over-ear headphones with ANC,image,https://example.com/media/headphones10.jpg,338.8,Electronics;Audio,ANC;wireless;comfort,2025-01-21
p_0010,Smartwatch Pro,Fitness-tracking smartwatch,image,https://example.com/media/watch1.jpg,330.48,Electronics;Wearables,heart-rate;gps;waterproof,2025-01-07
p_0011,Portable Bluetooth Speaker,Compact speaker with 12h battery,image,https://example.com/media/speaker2.jpg,376.0,Electronics;Audio,bluetooth;portable;bass,2025-02-03
p_0012,Portable Bluetooth Speaker,Compact speaker with 12h battery,image,https://example.com/media/speaker3.jpg,231.11,Electronics;Audio,bluetooth;portable;bass,2025-03-19
p_0013,Portable Bluetooth Speaker,Compact speaker with 12h battery,image,https://example.com/media/speaker4.jpg,354.15,Electronics;Audio,bluetooth;portable;bass,2025-02-01
p_0014,Travel Drone 4K,Lightweight drone with 4K camera,video,https://example.com/media/drone_demo5.mp4,38.39,Electronics;Drones,4K;camera;gps,2025-02-10
p_0015,Travel Drone 4K,Lightweight drone with 4K camera,video,https://example.com/media/drone_demo6.mp4,225.64,Electronics;Drones,4K;camera;gps,2025-03-14
p_0016,Noise-canceling Headphones,Over-ear headphones with ANC,image,https://example.com/media/headphones7.jpg,429.66,Electronics;Audio,ANC;wireless;comfort,2025-02-08
p_0017,Portable Bluetooth Speaker,Compact speaker with 12h battery,image,https://example.com/media/speaker8.jpg,492.91,Electronics;Audio,bluetooth;portable;bass,2025-01-26
